full_name,name
pele,pele
diego maradona,maradona
zinedine zidane,zidane
ronaldo,ronaldo
ronaldinho,ronaldinho
johan cruyff,cruyff
lev yashin,yashin
paolo maldini,maldini
mane garrincha,garrincha
ferenc puskas,puskas
lionel messi,messi
roberto baggio,baggio
thierry henry,henry
franco baresi,baresi
carlos alberto torres,carlos alberto
marco van basten,van basten
ruud gullit,gullit
george best,best
lothar matthäus,matthäus
eusebio,eusebio
eric cantona,cantona
xavier hernandez,xavi
robert lewandowski,lewandowski
ryan giggs,giggs
javier zanetti,zanetti
alessandro nesta,nesta
fabio cannavaro,cannavaro
rivaldo,rivaldo
hristo stoichkov,stoichkov
luis figo,figo
andrea pirlo,pirlo
ruud van nistelrooy,van nistelrooy
raul gonzalez blanco,raul
hugo sanchez,hugo sanchez
bobby moore,moore
emilio butragueno,butragueno
gary lineker,lineker
alessandro del piero,del piero
carles puyol saforcada,puyol
dennis bergkamp,bergkamp
peter schmeichel,schmeichel
garrincha,garrincha
kenny dalglish,dalglish
cristiano ronaldo,ronaldo
samuel eto'o,eto'o
jan oblak,oblak
alan shearer,shearer
paul scholes,scholes
marcel desailly,desailly
clarence seedorf,seedorf
robert pirès,pirès
michael ballack,ballack
michael owen,owen
david trezeguet,trezeguet
pavel nedvěd,nedvěd
andriy shevchenko,shevchenko
steven gerrard,gerrard
riquelme,riquelme
didier drogba,drogba
edwin van der sar,van der sar
kaka,kaka
fernando hierro ruiz,fernando hierro
gheorghe hagi,hagi
ronald koeman,koeman
socrates,socrates
michael laudrup,laudrup
patrick kluivert,kluivert
patrick vieira,vieira
roberto carlos,roberto carlos
laurent blanc,blanc
miroslav klose,klose
ian rush,rush
kevin de bruyne,de bruyne
neymar jr,neymar jr
philipp lahm,lahm
fernando torres,torres
bastian schweinsteiger,schweinsteiger
petr cech,cech
harry kane,kane
mohamed salah,salah
sadio mane,mane
roy keane,keane
jay-jay okocha,okocha
rui manuel cesar costa,rui costa
filippo inzaghi,inzaghi
gianfranco zola,zola
emmanuel petit,petit
claude makelele,makelele
frank lampard,lampard
jari litmanen,litmanen
rio ferdinand,ferdinand
hernan crespo,crespo
michael essien,essien
anderson luis de souza,
luis hernandez,hernandez
frank rijkaard,rijkaard
marc overmars,overmars
henrik larsson,larsson
christian vieri,vieri
juan sebastian veron,sebastian
pep guardiola,guardiola
virgil van dijk,van dijk
alisson,alisson
kylian mbappe,mbappe
marc-andre ter stegen,ter stegen
davor suker,suker
nemanja vidic,vidic
thibaut courtois,courtois
sergio ramos,sergio ramos
karim benzema,benzema
sol campbell,campbell
gennaro gattuso,gattuso
john barnes,barnes
ian wright,wright
gianluca zambrotta,zambrotta
sergio aguero,aguero
manuel neuer,neuer
casemiro,casemiro
ashley cole,cole
ederson,ederson
joshua kimmich,kimmich
bruno fernandes,bruno fernandes
heung min son,son
kalidou koulibaly,koulibaly
eden hazard,hazard
n'golo kante,kante
hidetoshi nakata,nakata
raheem sterling,sterling
toni kroos,kroos
paulo dybala,dybala
samir handanovic,handanovic
luis suarez,suarez
roberto firmino,roberto firmino
aymeric laporte,laporte
angel di maria,di maria
oyarzabal,oyarzabal
antoine griezmann,griezmann
aubameyang,aubameyang
luka modric,modric
ciro immobile,immobile
jadon sancho,sancho
trent alexander-arnold,alexander-arnold
wojciech szczesny,szczesny
bernardo silva,bernardo silva
andrew robertson,robertson
fabinho,fabinho
keylor navas,navas
sergio busquets,sergio busquets
giorgio chiellini,chiellini
hugo lloris,lloris
alejandro gomez,gomez
jamie vardy,vardy
thomas muller,muller
dries mertens,mertens
douglas costa,douglas costa
david silva,david silva
marco reus,reus
paul pogba,pogba
romelu lukaku,lukaku
mats hummels,hummels
yann sommer,sommer
marco verratti,verratti
pique,pique
jordan henderson,henderson
carvajal,carvajal
de gea,de gea
raphaël varane,varane
jordi alba,jordi alba
timo werner,werner
hakim ziyech,ziyech
wissam ben yedder,ben yedder
erling haland,haland
thomas partey,partey
thiago silva,silva
ansu fati,fati
axel witsel,witsel
kyle walker,walker
sergej milinkovic-savic,milinkovic-savic
jesus corona,corona
christian eriksen,eriksen
peter gulacsi,gulacsi
andrej kramaric,kramaric
laurent koscielny,koscielny
parejo,parejo
marcus rashford,rashford
memphis depay,depay
guerreiro,guerreiro
luis alberto,alberto
jose maria gimenez,maria
florent mollet,mollet
emil forsberg,forsberg
serge gnabry,gnabry
isco,isco
wilfred ndidi,ndidi
grimaldo,grimaldo
alex sandro,sandro
lorenzo insigne,insigne
riyad mahrez,mahrez
leon goretzka,goretzka
jonathan bamba,bamba
sami khedira,khedira
iago aspas,aspas
alessio romagnoli,romagnoli
marquinhos,marquinhos
thiago,thiago
kai havertz,havertz
gianluigi donnarumma,donnarumma
georginio wijnaldum,wijnaldum
matthijs de ligt,de ligt
ricardo pereira,pereira
miralem pjanic,pjanic
leroy sane,sane
milan skriniar,skriniar
koke,koke
bernd leno,leno
clement lenglet,lenglet
leonardo bonucci,bonucci
frenkie de jong,de jong
rodrigo,rodrigo
toby alderweireld,alderweireld
diego godin,godin
mauro icardi,icardi
achraf hakimi,hakimi
martin odegaard,odegaard
alexandre lacazette,lacazette
marcel sabitzer,sabitzer
bernat,bernat
arturo vidal,vidal
zlatan ibrahimovic,ibrahimovic
radja nainggolan,nainggolan
lucas ocampos,ocampos
joe gomez,gomez
federico valverde,valverde
wilfried zaha,zaha
lopes,lopes
jose paulo bezerra m. junior,paulo
karim bellarabi,bellarabi
lukas hradecký,hradecký
denis zakaria,zakaria
koen casteels,casteels
hirving lozano,lozano
sergi roberto carnicer,roberto
cristian portugues manzanera,portugues
gabriel jesus,gabriel jesus
naby keïta,keïta
hector bellerin moruno,bellerin
josip ilicic,ilicic
felipe,felipe
fernandinho,fernandinho
david alaba,alaba
stefan de vrij,de vrij
kingsley coman,coman
pizzi,pizzi
jesus navas,navas
azpilicueta,azpilicueta
nicolas tagliafico,tagliafico
alex telles,alex telles
lucas digne,digne
salvatore sirigu,sirigu
andre onana,onana
rui patricio,patricio
kasper schmeichel,schmeichel
roman burki,burki
idrissa gueye,gueye
lautaro martinez,martinez
marcelo brozovic,brozovic
julian brandt,brandt
raul jimenez,jimenez
niklas sule,sule
anthony martial,martial
lucas pezzini leiva,pezzini
saul niguez esclapez,niguez
arthur henrique ramos oliveira melo,henrique
walter benitez,benitez
andres iniesta lujan,iniesta
ben chilwell,chilwell
james rodriguez,rodriguez
marcel halstenberg,halstenberg
dominic calvert-lewin,calvert-lewin
callejon jose,jose
alessandro florenzi,florenzi
thomas delaney,delaney
ibrahima niane,niane
marcos llorente,llorente
manuel lazzari,lazzari
nordi mukiele,mukiele
inaki williams,williams
anderson talisca,talisca
juan cuadrado,cuadrado
jason denayer,denayer
joão felix sequeira,felix
kevin volland,volland
fernando pacheco flores,pacheco
bojan,bojan
taison barcellos freda,barcellos
ivan perisic,perisic
alphonso davies,davies
moussa diaby,diaby
lukasz fabianski,fabianski
max kruse,kruse
ollie watkins,watkins
joaquin correa,correa
quincy promes,promes
felipe anderson pereira gomes,anderson
steve mandanda,mandanda
marcos acuna,acuna
joão cancelo,cancelo
marcelo,marcelo
ferland mendy,mendy
kieran trippier,trippier
aaron wan-bissaka,wan-bissaka
joel matip,matip